geoName,geoCode,keyword,interest,geo_scope,fetched_at
Alabama,US-AL,telehealth,44,US,2026-05-17T16:58:30.163123
Alaska,US-AK,telehealth,45,US,2026-05-17T16:58:30.163123
Arizona,US-AZ,telehealth,46,US,2026-05-17T16:58:30.163123
Arkansas,US-AR,telehealth,42,US,2026-05-17T16:58:30.163123
California,US-CA,telehealth,40,US,2026-05-17T16:58:30.163123
Colorado,US-CO,telehealth,48,US,2026-05-17T16:58:30.163123
Connecticut,US-CT,telehealth,46,US,2026-05-17T16:58:30.163123
Delaware,US-DE,telehealth,41,US,2026-05-17T16:58:30.163123
District of Columbia,US-DC,telehealth,82,US,2026-05-17T16:58:30.163123
Florida,US-FL,telehealth,53,US,2026-05-17T16:58:30.163123
Georgia,US-GA,telehealth,48,US,2026-05-17T16:58:30.163123
Hawaii,US-HI,telehealth,52,US,2026-05-17T16:58:30.163123
Idaho,US-ID,telehealth,45,US,2026-05-17T16:58:30.163123
Illinois,US-IL,telehealth,43,US,2026-05-17T16:58:30.163123
Indiana,US-IN,telehealth,37,US,2026-05-17T16:58:30.163123
Iowa,US-IA,telehealth,39,US,2026-05-17T16:58:30.163123
Kansas,US-KS,telehealth,55,US,2026-05-17T16:58:30.163123
Kentucky,US-KY,telehealth,55,US,2026-05-17T16:58:30.163123
Louisiana,US-LA,telehealth,43,US,2026-05-17T16:58:30.163123
Maine,US-ME,telehealth,49,US,2026-05-17T16:58:30.163123
Maryland,US-MD,telehealth,60,US,2026-05-17T16:58:30.163123
Massachusetts,US-MA,telehealth,51,US,2026-05-17T16:58:30.163123
Michigan,US-MI,telehealth,38,US,2026-05-17T16:58:30.163123
Minnesota,US-MN,telehealth,39,US,2026-05-17T16:58:30.163123
Mississippi,US-MS,telehealth,44,US,2026-05-17T16:58:30.163123
Missouri,US-MO,telehealth,42,US,2026-05-17T16:58:30.163123
Montana,US-MT,telehealth,40,US,2026-05-17T16:58:30.163123
Nebraska,US-NE,telehealth,45,US,2026-05-17T16:58:30.163123
Nevada,US-NV,telehealth,44,US,2026-05-17T16:58:30.163123
